Council name,Contest Name,First Name,Surname,Party Description,
Aberdeenshire Council,Peterhead North and Rattray Ward,Fiona,MCRAE,Scottish National Party (SNP),
Aberdeenshire Council,Peterhead North and Rattray Ward,Iain,SUTHERLAND,Independent,
Aberdeenshire Council,Peterhead South and Cruden Ward,Stephen William,CALDER,Independent,
Aberdeenshire Council,Peterhead South and Cruden Ward,Sam,COULL,Independent,
Aberdeenshire Council,Peterhead South and Cruden Ward,Alan,FAKLEY,Scottish Conservative and Unionist,
Aberdeenshire Council,Peterhead South and Cruden Ward,Stuart Wallace,PRATT,Scottish National Party (SNP),
Aberdeenshire Council,Peterhead South and Cruden Ward,Colin Alexander,SIMPSON,Scottish Liberal Democrats,
Aberdeenshire Council,Peterhead South and Cruden Ward,Stephen William,SMITH,Scottish National Party (SNP),
Aberdeenshire Council,Turriff and District Ward,Sandy,DUNCAN,Independent,
Aberdeenshire Council,Turriff and District Ward,Alastair,FORSYTH,Scottish National Party (SNP),
Aberdeenshire Council,Turriff and District Ward,Mike,RAWLINS,Independent,
Aberdeenshire Council,Turriff and District Ward,Anne,ROBERTSON,Scottish Liberal Democrats,
Aberdeenshire Council,Turriff and District Ward,Iain,TAYLOR,Scottish Conservative and Unionist,
Aberdeenshire Council,Mid Formartine Ward,Karen,ADAM,Scottish National Party (SNP),
Aberdeenshire Council,Mid Formartine Ward,Jim,GIFFORD,Scottish Conservative and Unionist,
Aberdeenshire Council,Mid Formartine Ward,Jeff,GOODHALL,Independent,
Aberdeenshire Council,Mid Formartine Ward,Andrew John,HASSAN,Scottish Liberal Democrats,
Aberdeenshire Council,Mid Formartine Ward,Paul,JOHNSTON,Independent,
Aberdeenshire Council,Mid Formartine Ward,Kirsten,MUAT,Scottish Labour Party,
Aberdeenshire Council,Mid Formartine Ward,Cryle,SHAND,Scottish National Party (SNP),
Aberdeenshire Council,Ellon and District Ward,Isobel,DAVIDSON,Scottish Liberal Democrats,
Aberdeenshire Council,Ellon and District Ward,Anouk,KAHANOV-KLOPPERT,Scottish National Party (SNP),
Aberdeenshire Council,Ellon and District Ward,John P,MORGAN,Scottish Labour Party,
Aberdeenshire Council,Ellon and District Ward,Gillian,OWEN,Scottish Conservative and Unionist,
Aberdeenshire Council,Ellon and District Ward,Richard Gordon,THOMSON,Scottish National Party (SNP),
Aberdeenshire Council,West Garioch Ward,Victoria,HARPER,Scottish National Party (SNP),
Aberdeenshire Council,West Garioch Ward,Sebastian,LESLIE,Scottish Conservative and Unionist,
Aberdeenshire Council,West Garioch Ward,Elaine,MITCHELL,Scottish National Party (SNP),
Aberdeenshire Council,West Garioch Ward,Richard,OPENSHAW,Scottish Green Party,
Aberdeenshire Council,West Garioch Ward,Hazel,SMITH,Scottish Liberal Democrats,
Aberdeenshire Council,West Garioch Ward,Peter,YOUNG,Scottish Labour Party,
Aberdeenshire Council,Inverurie and District,Neil,BAILLIE,Scottish National Party (SNP),
Aberdeenshire Council,Inverurie and District,Colin,CLARK,Scottish Conservative and Unionist,
Aberdeenshire Council,Inverurie and District,Marion,EWENSON,Scottish Liberal Democrats,
Aberdeenshire Council,Inverurie and District,Sarah,FLAVELL,Scottish Labour Party,
Aberdeenshire Council,Inverurie and District,Bryan,STUART,Scottish National Party (SNP),
Aberdeenshire Council,Inverurie and District,Judy Margaret,WHYTE,,
Aberdeenshire Council,East Garioch Ward,Martin,FORD,Scottish Green Party,
Aberdeenshire Council,East Garioch Ward,Fergus,HOOD,Scottish Liberal Democrats,
Aberdeenshire Council,East Garioch Ward,Dominic,LONCHAY,Scottish Conservative and Unionist,
Aberdeenshire Council,East Garioch Ward,Conor,MCKAY,Scottish National Party (SNP),
Aberdeenshire Council,East Garioch Ward,Glen,REID,Scottish National Party (SNP),
Aberdeenshire Council,East Garioch Ward,Ann,THORPE,Scottish Labour Party,
Aberdeenshire Council,Westhill and District Ward,David,AITCHISON,Scottish National Party (SNP),
Aberdeenshire Council,Westhill and District Ward,Heather,COULL,Scottish National Party (SNP),
Aberdeenshire Council,Westhill and District Ward,Lindsey,KIRKHILL,Scottish Labour Party,
Aberdeenshire Council,Westhill and District Ward,Ron,MCKAIL,Scottish Conservative and Unionist,
Aberdeenshire Council,Westhill and District Ward,Alistair,MCKELVIE,Scottish Conservative and Unionist,
Aberdeenshire Council,Westhill and District Ward,Derek,SCOTT,Scottish Libertarian Party,
Aberdeenshire Council,Westhill and District Ward,Iris,WALKER,Scottish Liberal Democrats,
Aberdeenshire Council,"Huntly, Strathbogie and Howe of",Bryan Scott,BEGG,Scottish Labour Party,
Aberdeenshire Council,"Huntly, Strathbogie and Howe of",Moira,INGLEBY,Scottish Conservative and Unionist,
Aberdeenshire Council,"Huntly, Strathbogie and Howe of",John,LATHAM,Scottish Liberal Democrats,
Aberdeenshire Council,"Huntly, Strathbogie and Howe of",Kate,MONAHAN,Scottish National Party (SNP),
Aberdeenshire Council,"Huntly, Strathbogie and Howe of",Gwyneth Elaine,PETRIE,Scottish National Party (SNP),
Aberdeenshire Council,"Huntly, Strathbogie and Howe of",Robbie,WITHEY,Scottish Conservative and Unionist,
Aberdeenshire Council,"Aboyne, Upper Deeside and",Peter,ARGYLE,Scottish Liberal Democrats,
Aberdeenshire Council,"Aboyne, Upper Deeside and",Geva,BLACKETT,Scottish National Party (SNP),
Aberdeenshire Council,"Aboyne, Upper Deeside and",Paul,GIBB,Scottish Conservative and Unionist,
Aberdeenshire Council,"Aboyne, Upper Deeside and",Claire,MILLAR,Scottish Labour Party,
Aberdeenshire Council,"Aboyne, Upper Deeside and",Anne,REID,,
Aberdeenshire Council,Banchory and Mid Deeside Ward,Rosemary Elizabeth,BRUCE,Scottish Liberal Democrats,
